# Human triage verdicts for the 209 emergent depth-4 isolation leaks (the residue the join contract cannot reach).
# Each line: <verbatim isolation-leak-snapshot.txt signature> => <verdict>. Collected from site/check.html's depth-4 triage UI.
# Verdicts: "in context is outright broken" (actionable backlog) | "...just better..." / "...OK, but halves..." / custom ("both fine") = accept.
# See doc/history/2026-06-03--leak-cleanup/leak-triage.md and doc/history/2026-06-03--leak-cleanup/leak-prevention-plan.md.
Zoo No Thaw Ing [break 1] :: *L qsNo.alt.en-y0.ex-y0.after-zoo->qsNo |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is OK, but halves-shaped-separately is better
She Tea At May [break 1] :: *L qsTea.en-y0->qsTea |  R qsAt.ex-y0.before-may.ex-ext-5->qsAt.ex-y0.before-may.ex-ext-5 => in context is OK, but halves-shaped-separately is better
Jai Gay No Fee [break 2] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsFee->qsFee => in context is OK, but halves-shaped-separately is better
Jai Gay No Jai [break 2] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsJai->qsJai => in context is OK, but halves-shaped-separately is better
Jai No Fee Cheer [break 1] :: *L qsNo.alt.en-y0.ex-y0->qsNo | *R qsFee.ex-y5.before-utter.ex-ext-1->qsFee.ex-y5.ex-ext-1 => in context is OK, but halves-shaped-separately is better
Cheer Tea No Ah [break 0] ::  L qsCheer->qsCheer | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Cheer He No Ah [break 0] ::  L qsCheer->qsCheer | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
Jay Tea No Ah [break 0] ::  L qsJay->qsJay | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Ye See Fee Cheer [break 1] ::  L qsSee.after-ye->qsSee.after-ye | *R qsFee.ex-y5.before-utter.ex-ext-1->qsFee.en-y8.ex-y5.ex-ext-1 => in context is outright broken
Ye See Fee Ye [break 2] ::  L qsFee->qsFee | *R qsYe->qsYe.en-y5.ex-y0 => in context is outright broken
Ye Excite It Zoo [break 0] ::  L qsYe->qsYe | *R qsExcite->qsExcite.en-y0.ex-y0.before-vertical.noentry => in context is outright broken
Way They Utter Jai [break 0] ::  L qsWay->qsWay | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1 => these look the same to me
He Zoo Tea Oy [break 1] :: *L qsZoo.en-trim-1->qsZoo |  R qsTea_qsOy->qsTea_qsOy => these look the same to me
He Zoo Thaw Ing [break 1] :: *L qsZoo.en-trim-1->qsZoo |  R qsThaw.ex-y0->qsThaw.ex-y0 => these look the same to me
He Jai Tea Oy [break 1] :: *L qsJai.en-y5.ex-y0.en-con-1->qsJai |  R qsTea_qsOy->qsTea_qsOy => in context is outright broken
He Jai Thaw Ing [break 1] :: *L qsJai.en-y5.ex-y0.en-con-1->qsJai |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is outright broken
He No Fee Cheer [break 1] :: *L qsNo.en-ext-1->qsNo | *R qsFee.ex-y5.before-utter.ex-ext-1->qsFee.ex-y5.ex-ext-1 => these look the same to me
He Llan Tea Oy [break 1] :: *L qsLlan.en-ext-1->qsLlan |  R qsTea_qsOy->qsTea_qsOy => in context is just better than halves-shaped-separately
He Llan Thaw Ing [break 1] :: *L qsLlan.en-ext-1->qsLlan |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is just better than halves-shaped-separately
He Et Tea Oy [break 1] :: *L qsEt.en-ext-1->qsEt |  R qsTea_qsOy->qsTea_qsOy => in context is just better than halves-shaped-separately
He Et Thaw Ing [break 1] :: *L qsEt.en-ext-1->qsEt |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is just better than halves-shaped-separately
He Eight Thaw Ing [break 1] :: *L qsEight.en-ext-1->qsEight |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is just better than halves-shaped-separately
He Awe Tea Oy [break 1] :: *L qsAwe.en-ext-1->qsAwe |  R qsTea_qsOy->qsTea_qsOy => in context is just better than halves-shaped-separately
He Awe Thaw Ing [break 1] :: *L qsAwe.en-ext-1->qsAwe |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is just better than halves-shaped-separately
He Ox Tea Oy [break 1] :: *L qsOx.en-ext-1->qsOx |  R qsTea_qsOy->qsTea_qsOy => in context is just better than halves-shaped-separately
He Ox Thaw Ing [break 1] :: *L qsOx.en-ext-1->qsOx |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is just better than halves-shaped-separately
Ing Tea No Ah [break 0] ::  L qsIng->qsIng | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Ing He No Ah [break 0] ::  L qsIng->qsIng | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
May Pea Tea Oy [break 1] :: *L qsPea.en-y5.ex-y0->qsPea |  R qsTea_qsOy->qsTea_qsOy => in context is OK, but halves-shaped-separately is better
May Pea Thaw Ing [break 1] :: *L qsPea.en-y5.ex-y0->qsPea |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is OK, but halves-shaped-separately is better
May Gay Out Tea [break 0] :: *L qsMay->qsMay.ex-y0 |  R qsGay.ex-y0.ex-ext-1->qsGay.ex-y0.ex-ext-1 => in context is outright broken
May They Utter Jai [break 0] ::  L qsMay->qsMay | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1 => in context is just better than halves-shaped-separately
May Zoo Tea Oy [break 1] :: *L qsZoo.en-ext-1->qsZoo |  R qsTea_qsOy->qsTea_qsOy => in context is OK, but halves-shaped-separately is better
May Zoo Thaw Ing [break 1] :: *L qsZoo.en-ext-1->qsZoo |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is OK, but halves-shaped-separately is better
No Gay Out Tea [break 0] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsGay.ex-y0.ex-ext-1->qsGay.ex-y0.ex-ext-1 => in context is OK, but halves-shaped-separately is better
No They Utter Jai [break 0] ::  L qsNo->qsNo | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1 => in context is just better than halves-shaped-separately
Low They Utter Jai [break 0] ::  L qsLow->qsLow | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1 => in context is just better than halves-shaped-separately
Roe May Gay Ah [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsGay.ex-y0->qsGay.en-y0.ex-y5 => in context is OK, but halves-shaped-separately is better
Roe May Gay Awe [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsGay.ex-y5->qsGay.en-y0.ex-y5 => in context is OK, but halves-shaped-separately is better
Roe May Gay Owe [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsGay->qsGay.en-y0.ex-y5.ex-ext-2 => in context is OK, but halves-shaped-separately is better
Roe May May Fee [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsMay.ex-ext-1->qsMay.en-y0.ex-y5 => in context is OK, but halves-shaped-separately is better
Roe May May Ah [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsMay.ex-y0->qsMay.en-y0.ex-y5 => in context is OK, but halves-shaped-separately is better
Roe May May Awe [break 1] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsMay->qsMay.en-y0.ex-y5.ex-ext-1 => in context is OK, but halves-shaped-separately is better
Roe No See Low [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsSee.ex-y0.ex-ext-2->qsSee.ex-y0.ex-ext-2 => these two are different both both are OK
Roe No See Eat [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsSee_qsEat->qsSee_qsEat => these two are different both both are OK
Roe No See At [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsSee.ex-y0->qsSee.ex-y0 => these two are different both both are OK
Roe No See Out [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsSee.ex-y0.ex-con-1->qsSee.ex-y0.ex-con-1 => these two are different both both are OK
Roe No See Ooze [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsSee.ex-y0.ex-y0-right->qsSee.ex-y0.ex-y0-right => these two are different both both are OK
Roe No Utter May [break 1] :: *L qsNo->qsNo.alt.en-y0.ex-y0 |  R qsUtter.alt.ex-y0.before-may->qsUtter.alt.ex-y0.before-may => these two are different both both are OK
Llan Tea No Ah [break 0] ::  L qsLlan->qsLlan | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Llan He No Ah [break 0] ::  L qsLlan->qsLlan | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
Excite Tea Day Eat [break 1] :: *L qsTea.en-y0->qsTea |  R qsDay_qsEat->qsDay_qsEat => in context is OK, but halves-shaped-separately is better
Excite Tea See Low [break 1] :: *L qsTea.en-y0->qsTea |  R qsSee.ex-y0.ex-ext-2->qsSee.ex-y0.ex-ext-2 => in context is OK, but halves-shaped-separately is better
Excite Tea See Eat [break 1] :: *L qsTea.en-y0->qsTea |  R qsSee_qsEat->qsSee_qsEat => in context is OK, but halves-shaped-separately is better
Excite Tea See At [break 1] :: *L qsTea.en-y0->qsTea |  R qsSee.ex-y0->qsSee.ex-y0 => in context is OK, but halves-shaped-separately is better
Excite Tea See Out [break 1] :: *L qsTea.en-y0->qsTea |  R qsSee.ex-y0.ex-con-1->qsSee.ex-y0.ex-con-1 => in context is OK, but halves-shaped-separately is better
Excite Tea See Ooze [break 1] :: *L qsTea.en-y0->qsTea |  R qsSee.ex-y0.ex-y0-right->qsSee.ex-y0.ex-y0-right => in context is OK, but halves-shaped-separately is better
Excite Tea It Day [break 1] :: *L qsTea.en-y0->qsTea |  R qsIt.ex-y0.before-day.after-no-baseline-join->qsIt.ex-y0.before-day.after-no-baseline-join => in context is OK, but halves-shaped-separately is better
Excite Tea It Cheer [break 1] :: *L qsTea.en-y0->qsTea |  R qsIt.en-y0.ex-y5.ex-ext-1->qsIt.en-y0.ex-y5.ex-ext-1 => in context is OK, but halves-shaped-separately is better
Excite Tea It Utter [break 1] :: *L qsTea.en-y0->qsTea |  R qsIt.ex-y0.before-utter->qsIt.ex-y0.before-utter => in context is OK, but halves-shaped-separately is better
Excite Tea Utter May [break 1] :: *L qsTea.en-y0->qsTea |  R qsUtter.alt.ex-y0.before-may->qsUtter.alt.ex-y0.before-may => in context is OK, but halves-shaped-separately is better
It Jay Tea Oy [break 1] :: *L qsJay.en-y5.ex-y0.en-ext-1->qsJay.en-y5.ex-y0 |  R qsTea_qsOy->qsTea_qsOy => in context is just better than halves-shaped-separately
It Jay Thaw Ing [break 1] :: *L qsJay.en-y5.ex-y0.en-ext-1->qsJay.en-y5.ex-y0 |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is just better than halves-shaped-separately
It No Thaw Ing [break 1] :: *L qsNo.alt.en-y0.ex-y0.after-it-and-vie->qsNo |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is OK, but halves-shaped-separately is better
It Roe No Oy [break 2] ::  L qsNo.alt.en-y0.ex-y0->qsNo.alt.en-y0.ex-y0 | *R qsOy->qsOy.en-y5.ex-y0 => in context is outright broken
Et He No Ah [break 0] ::  L qsEt->qsEt | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
Eight Tea No Ah [break 0] ::  L qsEight->qsEight | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Eight He No Ah [break 0] ::  L qsEight->qsEight | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
At They Utter Jai [break 0] ::  L qsAt->qsAt | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1 => in context is just better than halves-shaped-separately
At Jai Tea Oy [break 1] :: *L qsJai.en-y5.ex-y0->qsJai |  R qsTea_qsOy->qsTea_qsOy => in context is OK, but halves-shaped-separately is better
At Jai Thaw Ing [break 1] :: *L qsJai.en-y5.ex-y0->qsJai |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is OK, but halves-shaped-separately is better
I They Tea Jay [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsTea.half.ex-y5.ex-con-1->qsTea.half.ex-y5.ex-con-1 => in context is outright broken
I They Tea I [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 | *R qsTea.en-y8.ex-y0.ex-ext-1->qsTea.ex-y0.ex-ext-1 => in context is outright broken
I They Tea Oy [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsTea_qsOy->qsTea_qsOy => in context is outright broken
I They Day Eat [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsDay_qsEat->qsDay_qsEat => in context is outright broken
I They Gay Day [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsGay.ex-y0.ex-ext-1->qsGay.ex-y0.ex-ext-1 => in context is outright broken
I They Thaw Ing [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is outright broken
I They See Low [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsSee.ex-y0.ex-ext-2->qsSee.ex-y0.ex-ext-2 => in context is outright broken
I They See Eat [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsSee_qsEat->qsSee_qsEat => in context is outright broken
I They See At [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsSee.ex-y0->qsSee.ex-y0 => in context is outright broken
I They See Utter [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsSee_qsUtter->qsSee_qsUtter => in context is outright broken
I They See Out [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsSee.ex-y0.ex-con-1->qsSee.ex-y0.ex-con-1 => in context is outright broken
I They See Ooze [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsSee.ex-y0.ex-y0-right->qsSee.ex-y0.ex-y0-right => in context is outright broken
I They It Day [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsIt.ex-y0.before-day.after-no-baseline-join->qsIt.ex-y0.before-day.after-no-baseline-join => in context is outright broken
I They It Utter [break 1] :: *L qsThey.en-y5.en-ext-1->qsThey.ex-y0.before-may.en-y5.en-ext-1 |  R qsIt.ex-y0.before-utter->qsIt.ex-y0.before-utter => in context is outright broken
I May Pea Awe [break 1] ::  L qsMay.en-y5.after-i->qsMay.en-y5.after-i | *R qsPea.half.ex-y5.ex-dips->qsPea.half.ex-y5 => in context is OK, but halves-shaped-separately is better
I May Tea Oy [break 1] :: *L qsMay.en-y5.after-i->qsMay.en-y5.ex-y0.after-i |  R qsTea_qsOy->qsTea_qsOy => in context is outright broken
I May See Low [break 1] :: *L qsMay.en-y5.after-i->qsMay.en-y5.ex-y0.after-i |  R qsSee.ex-y0.ex-ext-2->qsSee.ex-y0.ex-ext-2 => in context is outright broken
I May See Eat [break 1] :: *L qsMay.en-y5.after-i->qsMay.en-y5.ex-y0.after-i |  R qsSee_qsEat->qsSee_qsEat => in context is outright broken
I May See At [break 1] :: *L qsMay.en-y5.after-i->qsMay.en-y5.ex-y0.after-i |  R qsSee.ex-y0->qsSee.ex-y0 => in context is outright broken
I May See Utter [break 1] :: *L qsMay.en-y5.after-i->qsMay.en-y5.ex-y0.after-i |  R qsSee_qsUtter->qsSee_qsUtter => in context is outright broken
I May See Out [break 1] :: *L qsMay.en-y5.after-i->qsMay.en-y5.ex-y0.after-i |  R qsSee.ex-y0.ex-con-1->qsSee.ex-y0.ex-con-1 => in context is outright broken
I May See Ooze [break 1] :: *L qsMay.en-y5.after-i->qsMay.en-y5.ex-y0.after-i |  R qsSee.ex-y0.ex-y0-right->qsSee.ex-y0.ex-y0-right => in context is outright broken
Ah They Tea Jay [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsTea.half.ex-y5.ex-con-1->qsTea.half.ex-y5.ex-con-1 => in context is outright broken
Ah They Tea I [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 | *R qsTea.en-y8.ex-y0.ex-ext-1->qsTea.ex-y0.ex-ext-1 => in context is outright broken
Ah They Tea Oy [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsTea_qsOy->qsTea_qsOy => in context is outright broken
Ah They Day Eat [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsDay_qsEat->qsDay_qsEat => in context is outright broken
Ah They Gay Day [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsGay.ex-y0.ex-ext-1->qsGay.ex-y0.ex-ext-1 => in context is outright broken
Ah They Thaw Ing [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is outright broken
Ah They See Low [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsSee.ex-y0.ex-ext-2->qsSee.ex-y0.ex-ext-2 => in context is outright broken
Ah They See Eat [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsSee_qsEat->qsSee_qsEat => in context is outright broken
Ah They See At [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsSee.ex-y0->qsSee.ex-y0 => in context is outright broken
Ah They See Utter [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsSee_qsUtter->qsSee_qsUtter => in context is outright broken
Ah They See Out [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsSee.ex-y0.ex-con-1->qsSee.ex-y0.ex-con-1 => in context is outright broken
Ah They See Ooze [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsSee.ex-y0.ex-y0-right->qsSee.ex-y0.ex-y0-right => in context is outright broken
Ah They May Day [break 1] :: *L qsThey.en-y5->qsThey |  R qsMay.ex-ext-1->qsMay.ex-ext-1 => in context is OK, but halves-shaped-separately is better
Ah They May Ah [break 1] :: *L qsThey.en-y5->qsThey |  R qsMay.ex-y0->qsMay.ex-y0 => in context is OK, but halves-shaped-separately is better
Ah They It Day [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsIt.ex-y0.before-day.after-no-baseline-join->qsIt.ex-y0.before-day.after-no-baseline-join => in context is outright broken
Ah They It Utter [break 1] :: *L qsThey.en-y5->qsThey.ex-y0.before-may.en-y5 |  R qsIt.ex-y0.before-utter->qsIt.ex-y0.before-utter => in context is outright broken
Ah Jai Tea Oy [break 1] :: *L qsJai.en-y5.ex-y0.en-trim-2->qsJai |  R qsTea_qsOy->qsTea_qsOy => in context is outright broken
Ah Jai Thaw Ing [break 1] :: *L qsJai.en-y5.ex-y0.en-trim-2->qsJai |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is outright broken
Ah Ye Tea Oy [break 1] :: *L qsYe.en-y5.ex-y0->qsYe |  R qsTea_qsOy->qsTea_qsOy => in context is OK, but halves-shaped-separately is better
